2023-03-16 20:15:04,(2(0)-1678968904:822906),cmdDisp.OpCodeDispatched,1281,EventSeverity.COMMAND,Opcode 0xe00 dispatched to port 7
2023-03-16 20:15:04,(2(0)-1678968904:822950),control.START_CONTROL,3584,EventSeverity.ACTIVITY_LO,start control
2023-03-16 20:15:04,(2(0)-1678968904:946804),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:04,(2(0)-1678968904:996093),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:04,(2(0)-1678968904:996151),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 92 jet
2023-03-16 20:15:04,(2(0)-1678968904:996159),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 3 jet
2023-03-16 20:15:04,(2(0)-1678968904:996163),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 4 jet
2023-03-16 20:15:05,(2(0)-1678968905:975880),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:06,(2(0)-1678968906:24416),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:06,(2(0)-1678968906:24461),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 162 jet
2023-03-16 20:15:06,(2(0)-1678968906:24466),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 2 jet
2023-03-16 20:15:07,(2(0)-1678968907:15090),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:07,(2(0)-1678968907:51910),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:07,(2(0)-1678968907:51972),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 162 jet
2023-03-16 20:15:07,(2(0)-1678968907:51979),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 2 jet
2023-03-16 20:15:08,(2(0)-1678968908:38087),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:08,(2(0)-1678968908:80792),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:08,(2(0)-1678968908:80885),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 162 jet
2023-03-16 20:15:08,(2(0)-1678968908:80895),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 2 jet
2023-03-16 20:15:09,(2(0)-1678968909:71799),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:09,(2(0)-1678968909:108744),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:09,(2(0)-1678968909:108803),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 162 jet
2023-03-16 20:15:09,(2(0)-1678968909:108821),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 2 jet
2023-03-16 20:15:10,(2(0)-1678968910:121671),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:10,(2(0)-1678968910:136788),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:10,(2(0)-1678968910:136904),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 162 jet
2023-03-16 20:15:10,(2(0)-1678968910:136914),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 2 jet
2023-03-16 20:15:11,(2(0)-1678968911:139248),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:11,(2(0)-1678968911:165083),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:11,(2(0)-1678968911:165391),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 162 jet
2023-03-16 20:15:11,(2(0)-1678968911:167121),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 2 jet
2023-03-16 20:15:12,(2(0)-1678968912:165036),protectFromSunlight.PROCESS_OUT_DATA,21248,EventSeverity.ACTIVITY_LO,Protect from Sunlight
2023-03-16 20:15:12,(2(0)-1678968912:193025),thrDistribute.DOTHRUSTER,9985,EventSeverity.ACTIVITY_LO,DO Thruster
2023-03-16 20:15:12,(2(0)-1678968912:193094),thrDistribute.THRUSTER,9984,EventSeverity.ACTIVITY_LO,Thruster 162 jet
